title,author,duration,start_date,finish_date,reading_speed,cover_url,percent_complete
Isles of the Emberdark,Brandon Sanderson,16.88,07/09/2025 - 09:25 PM,07/15/2025 - 12:55 AM,2.0,https://i.imgur.com/UtIUVAH.png,100%
Pale Blue Dot,Carl Sagan,13.30,07/15/2025 - 09:55 AM,07/17/2025 - 10:29 PM,2.0,https://i.imgur.com/etyjo0s.jpeg,100%
The Martian,Andy Weir,10.88,07/19/2025 - 08:47 PM,07/23/2025 - 01:33 AM,1.9,https://i.imgur.com/Kox45fZ.png,100%
Rendezvous with Rama,Arthur C. Clarke,9.02,07/23/2025 - 04:59 PM,07/27/2025 - 12:38 AM,2.0,https://i.imgur.com/0GQIdWP.png,100%
The Dispatcher,John Scalzi,9.58,07/27/2025 - 12:47 AM,07/30/2025 - 11:51 AM,1.8,https://i.imgur.com/6pdAROj.png,100%
Outland,Dennis E. Taylor,10.50,07/30/2025 - 11:52 AM,08/01/2025 - 12:58 PM,2.0,https://i.imgur.com/umO5Nlg.png,100%
Delta-v,Daniel Suarez,16.70,08/01/2025 - 02:28 PM,08/06/2025 - 01:09 AM,2.0,https://i.imgur.com/nBWIhhn.png,100%
The Kaiju Preservation Society,John Scalzi,8.03,08/06/2025 - 01:47 AM,08/07/2025 - 05:50 PM,2.0,https://i.imgur.com/yK4W5lI.png,100%
Red Rising,Pierce Brown,16.20,08/07/2025 - 05:53 PM,08/09/2025 - 11:50 PM,2.0,https://i.imgur.com/O2S6jjl.png,100%
Golden Son,Pierce Brown,19.05,08/09/2025 - 11:50 PM,08/12/2025 - 05:16 PM,2.0,https://i.imgur.com/ebonHcd.png,100%
Morning Star,Pierce Brown,21.83,08/12/2025 - 05:16 PM,08/19/2025 - 06:02 PM,2.0,https://i.imgur.com/gRZFp1A.png,100%
Sphere,Michael Crichton,13.00,08/19/2025 - 06:16 PM,08/21/2025 - 08:54 PM,2.3,https://i.imgur.com/0xR7Sxh.png,100%
Redshirts,John Scalzi,7.70,08/21/2025 - 08:56 PM,08/23/2025 - 02:55 PM,2.0,https://i.imgur.com/M2UcE3C.png,100%
Year Zero,Rob Reid,9.88,08/23/2025 - 03:00 PM,08/25/2025 - 10:53 PM,2.0,https://i.imgur.com/M2q5IqP.png,100%
Steelheart,Brandon Sanderson,12.23,08/25/2025 - 10:57 PM,08/27/2025 - 12:49 AM,2.0,https://i.ibb.co/CsQMTFpj/poster-steelheart.png,100%
The Hitchhiker's Guide to the Galaxy,Douglas Adams,5.85,08/27/2025 - 01:42 AM,08/28/2025 - 10:11 PM,1.5,https://i.imgur.com/og8akR2.png,100%
House of Earth and Blood,Sarah J. Maas,27.85,01/01/2024 - 12:03 AM,01/09/2024 - 11:04 PM,1.9,https://lh3.googleusercontent.com/pw/AP1GczOvyM_Qe2Aqua2psEiyUmbOjRM6UjkYF-V0QJ3DsdcNKIJCryMKgVTc53SMdLSb32JYSEOfutia9C3hgnSAUnve7C7WFlSg8xKki85TOTqoe2aSU9x6=w2400,100%
House of Sky and Breath,Sarah J. Maas,27.70,01/09/2024 - 11:19 PM,01/22/2024 - 06:56 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczOfNhXzfz8dRmaAKsLLzRHvudNHxBPhL4PMFm_yB84Xp_FosMJzoG5xfX3pIdWBvN7Bu33HrgOuzk6k0px_dcc3BNzYAV0UDuqyxQ8wDS5XcGqOMhKU=w2400,100%
Autopsy,Patricia Cornwell,11.90,01/22/2024 - 10:11 PM,01/26/2024 - 02:29 PM,2.1,https://lh3.googleusercontent.com/pw/AP1GczOKtJRtZ196UOIc4nmJgf6l2BgZmdbVSGekf8_JpSoAosBdrYTMXOyWaVrmQT1NF2JID9SknNT7ZJ2REUle_gpJJgpLgqewdKt6SkJXfkOieSvcympB=w2400,100%
The Wonderful Wizard of Oz,L. Frank Baum,3.82,01/27/2024 - 01:32 AM,01/29/2024 - 01:05 AM,1.5,https://lh3.googleusercontent.com/pw/AP1GczNcOj5uZNN-dH90LJLFbX2FRe0VMIbzt7eZSjb46Rs1WkSct-LABQG6FcmnZxo5McGj126AhaVmbEjQZrwJdXdZryYt0yfkiU2ZN43Alro1vTZBe6FS=w2400,100%
House of Flame and Shadow,Sarah J. Maas,29.70,01/30/2024 - 01:14 AM,02/10/2024 - 10:43 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPw1Jbw4NtFqsOnGY-GzJuSVTBZIQrDOy2LS4TSmxNgmu6HH3aAEajNf2sbTkcfUnDTKJaiEHiECwaxp_3dqQoFbRgZdXXeKYrn94aaUVLwMSmCHQws=w2400,100%
Homeland,R. A. Salvatore,10.28,02/11/2024 - 01:35 AM,02/15/2024 - 01:08 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczNnWUv1CDL7Pz8bACWSkUTksuZmDp290v9ThlvhvHXcu0T9Ps4mE3Bu9tLu8i9PZyFQXOQjtUqCRjulljFbAn2WhHE3gs93_11jdn2iZA9FBXuEPo_I=w2400,100%
Dune,Frank Herbert,21.80,02/15/2024 - 11:43 AM,02/19/2024 - 09:00 PM,1.8,https://lh3.googleusercontent.com/pw/AP1GczPleFrlXDiC6tiGehjD_jkGGp8odk82uZHG9xU5yiYstou3gyXczMYrwj9LQ0Qd8ONLXW7hBj-L41alHiyBijv1kZ9I4LKo7U76KW5G9E71F0DPKP3I=w2400,100%
Walt Disney: An American Original,Bob Thomas,16.02,02/19/2024 - 11:18 PM,02/24/2024 - 04:34 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczM4F9pDb6iw7waAGmesxhKmq5btmA1EWFTdusbW_jwtAyAFBruEzscLytGNcXj4oqlV4UlSUn4htzDlHv9TPJIqnwHZR33IHkrmoXGYnKBHRare5gXy=w2400,100%
Hyperion,Dan Simmons,20.73,02/24/2024 - 05:09 PM,03/04/2024 - 09:45 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczMzxENuLni1XEoLRSUuEDvk5eiLexYjExQy5nrlLP2pIlK57zH0dT95SMywGgjzidN-kxvNAms6EpiO0Z9YgDb0RweH4riirJncEb67-IuLxery3EWm=w2400,100%
The Fall of Hyperion,Dan Simmons,21.75,03/04/2024 - 11:28 AM,03/13/2024 - 11:16 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczMeVzL4QC1EJrY2uKZS51C0pip1HcsVQXCsWt6e95nbIEJ7pPIgajgU8rFF2hKqnbTGMqrOSte8wEYcBFcp5ZFtQqeoXGRHgIsIS37USazbLC2Yni9Z=w2400,100%
Livid,Patricia Cornwell,10.50,03/13/2024 - 11:21 PM,03/17/2024 - 08:57 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPiGTE0-M7cJAdnFA0iKHFzuhf8Bq46ld9dWMXHiHlXPIY1tprhBrY7f9BMxEgfRWKT7sLjBu_HSQt2Kkgjg396tYue3IVh8I2biurIkBqXOSCx41sK=w2400,100%
Fire Strike,Mike Maden,14.18,03/17/2024 - 09:00 PM,03/22/2024 - 11:32 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczP64px82faxJY80m5TRF3JG66XM-FK2yb4QecSNir8pLBIc_bksY4NBPeJ2sN91rilM6w3ys7U0mqYfhGPnJA0SYrEHMRc1qdOnB3QCKPJWEWBjr_My=w2400,100%
Endymion,Dan Simmons,23.27,03/22/2024 - 11:38 PM,04/01/2024 - 01:40 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPwkh-348TweVvczaBw0C-xAMK3dY-LA8iYR2emaKQsc9rF6dIu5iz1j496Myo-3NZQgL2VgfZ87Wu8225GZULjCRkU6ckDWBXTIga5UIgkkWrRblgW=w2400,100%
The Godwulf Manuscript,Robert B. Parker,5.08,04/01/2024 - 11:58 AM,04/02/2024 - 08:59 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczP1kOXo6JWUK3L5SGrYDNpSEYktZf3PStGnesIuRIGKtudFsKFRzbvnq4uJtgagCfqkc1icZOFCX5EEWj95VkKTkf226mpkt1ZtSRsvsTpikz0io2d_=w2400,100%
The Rise of Endymion,Dan Simmons,29.78,04/02/2024 - 10:53 PM,04/15/2024 - 11:45 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczPgizzNs0oxGT4ibse5zlb7YQzyi3qv8u2wZIxyC0WjYDNnTnrUB_wFwbLjfnC0W7j0B_CCTr9yJakrrJPE2ZTlSsbxHegKe50NFZ1fI9T4ncWXFFxj=w2400,100%
Unnatural Death,Patricia Cornwell,11.80,04/16/2024 - 12:06 AM,04/19/2024 - 02:02 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczN321UMVAZD6ktMF8VGwHh84Ytr4MbMFp2gYeQj8aP6SUKCcBBH7qYsPb8eruIe3Td-q-C36qc2NCz8CPUmsdkD2rmHBwc34xg33VqV4BBmkBwFIAAn=w2400,100%
Wicked,Gregory Maguire,19.70,04/19/2024 - 02:03 PM,04/25/2024 - 10:10 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczNQ7iQW4XIB_DM8kHknPvS98W5HqODZiZtZerIt5RVxQVQet6x2hRbiB3IbkH_vZxs7_o9oPsX7g0zv7ghJr5X_pvpmJW3z5y3o_HPKA7oosz_kOy09=w2400,100%
